,413FM0J_sample001,YA4JE89_sample001,AI8K1H6_sample002,GM30XFD_sample003,YA4JE89_sample002,JD32HPP_sample005,AI8K1H6_sample001,413FM0J_sample002,128T8B4_sample025,UYX1M7A_sample004,2I1Y0Z9_sample001,2I1Y0Z9_sample002,Z9UVZX7_sample001,ZF8WDFS_sample005,0QJ6J2T_sample001,314Z52D_sample001,P7IG2M6_sample001,77SHGAG_sample002,77SHGAG_sample001,3RGFT20_sample004,IYRVLF5_sample001,H84559E_sample004,7F3ZM3T_sample001,F27B011_sample001,C5J912G_sample001,P7IG2M6_sample002,ERUH8Y4_sample001,Q15VFHB_sample002,3WR61X3_sample001,1KEQR84_sample002,91W7C88_sample003,K5LA59U_sample002,JD32HPP_sample003,1KEQR84_sample001,Z9UVZX7_sample004,IYRVLF5_sample002,I9178W9_sample001,GM30XFD_sample002,Z9UVZX7_sample002,5OCQITY_sample001,Q15VFHB_sample001,K5LA59U_sample001,2DZJ8RE_sample002,50RWL61_sample002,O697I0L_sample001,BV5W979_sample001,50RWL61_sample003,BV5W979_sample003,H84559E_sample001,UYX1M7A_sample003,JD32HPP_sample002,LPHTEXM_sample001,C18HPI3_sample003,H84559E_sample003,1KEQR84_sample003,BV5W979_sample002,UYX1M7A_sample005,3CA9B3H_sample001,K5LA59U_sample003,ZF8WDFS_sample007,GM30XFD_sample001,9M7H5EI_sample001,UYX1M7A_sample002,2DZJ8RE_sample001,91W7C88_sample002,Q15VFHB_sample004,128T8B4_sample029,50RWL61_sample001,C18HPI3_sample001,C18HPI3_sample002,BYPLWTE_sample001,IO8L3WL_sample001,JD32HPP_sample004,37F102B_sample001,7UV42I3_sample001,U05HLZY_sample001,37F102B_sample002,3RGFT20_sample001,ZF8WDFS_sample004,LPHTEXM_sample002,91W7C88_sample001,UYX1M7A_sample001,2W5JG33_sample080,91W7C88_sample004,JD32HPP_sample001,U05HLZY_sample002,O3F124I_sample001,BV5W979_sample004
SP4_MA0685.2,0,147,68,0,124,0,63,65,0,0,0,0,0,0,28,34,104,109,0,83,0,0,34,68,62,0,50,0,52,0,0,0,0,0,0,0,69,0,0,57,0,0,76,0,70,0,0,0,0,0,0,81,0,133,0,0,0,47,0,0,0,93,0,0,0,89,0,0,0,119,16,66,0,0,44,73,122,0,0,0,0,0,0,0,0,87,29,0
ANDR_ANDR_HUMAN.H11MO.0.A,0,0,0,0,0,0,0,46,0,0,0,0,0,0,18,54,0,46,0,60,0,0,0,65,46,0,57,0,0,0,0,0,0,0,0,0,58,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,35,0,158,0,0,71,0,0,0,0,0,0,16,0
SOX10_SOX10_HUMAN.H11MO.0.B,0,0,0,0,0,0,12,23,0,0,10,0,0,0,8,0,16,28,0,28,33,0,0,0,23,0,0,0,11,0,0,0,0,0,0,29,39,0,0,24,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,37,0,0,0,19,0,0,0,0,5,0,0,0,23,32,44,0,0,23,0,0,0,0,0,0,0,0
ZNF17_M07681_2.00,0,0,83,0,165,0,0,0,0,0,0,0,0,0,0,78,0,151,0,0,0,0,13,167,156,0,146,0,0,0,0,0,0,0,0,0,160,0,0,137,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,228,0,0,0,115,0,0,0,0,45,155,0,0,90,0,0,0,0,0,0,0,0,0,0,0,32,0
STA5B_STA5B_HUMAN.H11MO.0.A,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,7,0,0,0,17,24,0,0,0,0,0,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,16,0,0,0,0,0,0,0,0
SREBF2_M08059_2.00,0,21,0,0,0,0,0,7,0,12,0,0,0,0,0,11,12,0,0,0,23,0,2,21,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,18,15,0,0,0,0,0,4,0,0,31,0,0,19,0,0,0,23,0,0,0,12,0,0,0,26,0,23,0,0,0,15,29,0,0,0,0,0,0,0,0,19,0,22
ZSCAN16_M08377_2.00,0,0,0,0,84,0,14,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,68,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,101,0,0,0,0,19,39,106,0,0,0,0,0,0,0,0,0,12,0
FOXM1_FOXM1_HUMAN.H11MO.0.A,21,35,0,0,31,0,0,13,0,14,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,7,0,0,0,0,18,0,0,22,0,0,14,20,0,19,17,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
FOSL2_M08064_2.00,0,0,0,29,21,0,0,7,0,0,0,0,0,0,0,0,18,0,0,7,0,0,0,21,20,17,20,0,0,0,0,0,0,0,0,0,22,0,0,18,0,0,19,0,24,0,19,0,0,0,0,0,0,0,0,0,0,20,0,0,38,25,0,0,0,13,0,0,0,0,0,26,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
TEAD4_MA0809.2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
ZNF417_M07639_2.00,0,0,0,0,0,0,0,37,0,0,0,0,0,0,24,36,43,0,0,0,0,0,0,68,68,0,67,0,0,0,0,0,0,0,0,0,63,0,0,70,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,96,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
ZNF214_M08314_2.00,0,37,0,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,29,0,32,0,0,29,20,0,24,0,0,0,0,0,0,0,0,28,24,0,0,23,0,0,38,0,24,0,18,0,0,0,0,20,0,0,0,0,0,21,0,0,0,44,0,52,0,0,0,0,0,0,0,24,0,0,17,0,60,0,0,0,0,0,0,0,0,0,0,0
STAT1_M08171_2.00,17,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,3,0,11,0,0,0,10,16,0,14,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,21,0,0,0,0,0,0,0,25,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0
ZNF783_M07757_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,45,60,0,37,0,0,20,50,52,0,47,0,28,0,0,0,0,0,0,0,45,0,0,41,0,39,29,0,44,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,57,0,0,0,31,0,0,0,60,0,44,0,0,39,43,51,0,0,0,0,0,0,0,0,0,20,0
SOX13_M08166_2.00,0,15,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0
ZBTB7A_MA0750.2,0,0,0,0,43,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,46,41,0,0,0,23,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,41,0,36,0,0,0,0,0,0,60,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,36,0,0,0,0,52,0,0,0,0,0,0,0,0,0,14,0
ZBTB33_M08094_2.00,7,0,0,0,10,0,0,6,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,6,6,0,11,0,0,0,0,10,0,0,8,0,6,0,0,8,0,10,11,0,9,0,12,12,0,9,0,0,0,0,16,0,0,8,0,0,0,11,0,0,10,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
ZBTB26_M08340_2.00,0,333,70,0,301,0,66,80,0,0,0,0,0,0,52,76,0,203,0,0,158,0,31,131,106,0,111,0,47,0,0,0,0,0,0,155,117,0,0,90,0,0,133,0,138,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,208,0,0,0,0,0,0,0,0,29,132,0,0,70,0,237,0,0,0,0,0,0,0,0,0,46,0
FOXA2_MA0047.3,0,0,3,0,11,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,11,0,0,0,0,0,0,0,0
ZBTB33_MA0527.1,7,0,0,0,10,0,0,6,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,6,6,0,11,0,0,0,0,10,0,0,8,0,6,0,0,8,0,10,11,0,9,0,12,12,0,9,0,0,0,0,17,0,0,8,0,0,0,11,0,0,10,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
HNF1A_HNF1A_HUMAN.H11MO.0.C,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,24,0,0,7,0,0,0,0,0,3,0,32,6,0,0,9,7,0,0,25,0,0,11,0,0,0,0,23,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
ZBT14_ZBT14_HUMAN.H11MO.0.C,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,4,0,0,0,0,7,3,5,0,8,7,0,8,0,0,7,0,0,0,0,2,6,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
KLF10_MA1511.2,0,123,56,0,113,0,53,53,0,0,0,38,0,0,21,28,95,95,0,70,0,0,27,52,49,0,39,0,43,0,0,0,0,0,78,0,55,0,0,39,0,0,69,0,52,0,0,0,0,81,0,64,0,115,0,0,0,35,0,0,0,76,0,0,0,83,0,0,0,112,15,58,0,0,29,0,112,0,0,0,0,0,0,0,0,79,23,0
POU5F1_M08141_2.00,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,17,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0
GABPA_M07953_2.00,0,24,9,0,26,0,0,0,0,0,0,16,0,0,0,14,0,15,0,9,26,0,0,23,23,0,18,0,10,0,0,0,0,0,0,0,22,0,0,16,0,0,26,12,23,0,16,0,0,0,0,0,0,0,28,0,0,20,0,0,30,30,0,0,0,22,0,0,0,0,4,23,0,0,14,0,31,0,0,0,0,0,0,0,0,0,11,0
RELA_M08003_2.00,0,37,0,0,0,0,18,11,0,0,14,14,0,0,0,0,26,0,32,19,0,0,0,21,21,0,28,0,9,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,28,19,0,0,0,0,0,9,0,0,0,0,0,17,0,0,0,44,0,40,0,20,0,0,0,0,0,19,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,0
TWIST1_MA1123.2,0,0,4,0,34,0,0,17,0,0,0,14,0,0,9,0,0,23,0,24,0,0,0,25,27,0,29,0,0,0,0,0,0,0,0,0,28,0,0,21,0,0,39,0,22,0,0,0,0,0,0,15,0,0,0,0,0,22,28,0,0,29,0,0,0,25,0,0,0,0,0,26,0,0,0,0,54,0,0,0,0,0,0,0,0,26,0,0
ZNF549_M07576_2.00,0,45,15,0,0,0,0,16,0,0,0,18,0,0,0,0,0,26,0,0,42,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,30,0,29,0,0,0,0,0,0,17,0,0,46,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,36,0,0
ZNF513_M08322_2.00,0,0,0,0,0,0,20,30,0,0,0,27,0,0,10,0,0,37,0,0,0,0,0,50,45,0,43,0,17,0,0,0,0,0,0,0,39,0,0,33,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,61,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZKSCAN3_M07696_2.00,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,8,0,11,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,7,0,0,0
NFAC3_NFAC3_HUMAN.H11MO.0.B,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,14,0,0,0,0,21,0,0,0,0,0,0,0,0,20,0,0
CTCF_M07867_2.00,0,40,34,0,0,0,37,19,0,0,29,0,0,0,20,0,38,50,0,38,0,0,9,43,39,40,41,0,14,0,0,0,0,0,0,0,42,0,0,39,0,0,0,0,43,26,0,0,0,0,0,0,0,58,47,0,0,36,38,0,0,53,0,0,56,32,0,0,0,40,0,35,0,0,27,37,49,0,0,0,0,0,0,0,0,0,19,0
ZBT7A_ZBT7A_HUMAN.H11MO.0.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,36,0,27,0,0,0,0,31,0,0,0,21,0,0,0,0,0,0,0,32,0,0,0,0,0,0,19,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,25,0,46,0,0,0,0,0,0,0,0,0,14,0
TEAD4_TEAD4_HUMAN.H11MO.0.A,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,15,13,0,13,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,21,0,0,0,0,0,0,0,0
ZNF891_M07762_2.00,0,0,0,0,0,0,0,0,0,0,80,0,0,0,27,56,0,115,0,84,0,0,10,118,108,0,99,0,49,0,0,0,0,0,0,0,127,0,0,101,0,0,89,0,111,0,114,0,0,0,0,0,0,0,0,0,0,90,0,0,0,160,0,0,0,0,0,0,0,0,26,108,0,0,87,0,163,0,0,0,0,0,0,0,0,0,42,0
PBX3_M07971_2.00,0,0,0,0,17,0,0,0,0,0,0,0,0,0,12,0,0,21,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,15,21,0,0,0,0,0,0,0,0,0,0,0
PBX2_MA1113.2,0,0,0,0,5,0,3,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,34,0,15,0,12,5,2,0,0,0,0,0,23,0,0,0,0,8,8,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0
PRDM6_M08277_2.00,0,0,0,0,199,0,66,0,0,0,16,0,0,0,14,0,0,142,0,154,0,0,0,52,54,0,0,0,39,0,0,0,0,0,0,0,49,0,0,42,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,50,0,0,0,75,0,0,0,0,0,0,0,0,0,55,0,0,46,0,0,0,0,0,0,0,0,0,0,0,16,0
SPI1_M07945_2.00,0,0,0,0,65,0,0,0,0,0,0,0,0,0,27,45,0,0,0,68,0,0,11,90,77,0,0,0,0,0,0,0,0,0,0,0,74,0,0,75,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,120,0,0,0,71,0,0,0,0,14,80,0,0,53,0,0,0,0,0,0,0,0,0,0,0,16,0
ZNF7_M07598_2.00,0,0,0,0,40,0,0,0,0,0,0,16,0,0,0,21,0,0,0,0,48,0,0,37,0,0,33,0,0,0,0,0,0,0,0,0,31,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,35,0,0,50,0,0,0,30,0,0,0,0,5,0,0,0,0,37,71,0,0,32,0,0,0,0,0,0,0,0
GLI4_M08394_2.00,0,0,0,0,0,0,22,0,0,0,21,0,0,0,17,14,39,40,0,26,0,0,0,58,45,36,47,0,16,0,0,0,0,0,0,0,44,0,0,43,0,0,0,0,52,0,0,0,0,58,0,0,0,0,0,0,0,39,0,0,0,71,0,70,0,0,0,0,0,0,0,49,0,0,26,0,66,0,0,0,0,0,0,0,0,0,15,0
ZNF782_M07706_2.00,0,0,0,0,44,0,21,33,0,0,0,0,0,0,0,40,29,30,0,43,59,0,0,56,43,0,39,0,14,0,0,0,0,0,0,47,52,0,0,40,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,40,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,20,0
FLI1_M08111_2.00,0,0,33,0,0,0,0,65,0,0,0,0,0,0,31,46,0,96,0,0,0,0,4,74,76,0,73,0,29,0,0,0,0,0,0,0,60,0,0,70,0,0,91,0,68,0,71,0,0,0,0,0,0,0,0,0,0,68,0,0,0,121,0,0,0,0,0,0,0,0,15,81,0,0,47,73,0,0,0,0,0,0,0,0,0,0,26,0
ZNF35_M08250_2.00,32,19,0,18,16,0,0,20,0,0,0,0,0,0,0,0,0,11,0,34,22,0,0,15,0,0,0,0,12,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,19,0,0,17,0,0,0,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,25,0,0,0,0,0,37,0,0
YY2_MA0748.2,7,0,6,0,14,18,6,0,0,0,10,5,13,0,0,6,0,12,0,0,0,0,0,13,12,0,13,0,5,0,0,0,0,0,18,12,11,0,0,12,0,0,6,16,14,6,13,0,0,11,0,0,0,0,0,0,0,10,0,0,11,20,0,0,10,7,0,15,0,0,0,13,10,0,11,0,12,0,0,0,9,8,0,0,0,0,0,0
KLF12_MA0742.2,0,117,54,0,103,0,51,53,0,0,0,38,0,0,20,27,94,89,0,68,0,0,27,48,48,87,36,0,40,0,0,0,0,0,75,0,55,0,0,35,0,0,62,0,52,0,0,0,0,0,0,67,0,114,0,0,0,31,0,0,0,70,0,0,0,78,0,0,0,106,14,54,0,0,32,60,105,0,0,0,0,0,0,0,0,71,20,0
CTCF_M07902_2.00,0,0,0,0,0,0,0,39,0,0,51,49,0,0,27,39,0,0,0,51,0,0,20,63,57,0,59,0,38,0,0,0,0,0,0,0,66,0,0,68,0,0,0,0,71,0,0,0,0,0,0,45,0,69,0,0,0,71,0,0,0,76,0,0,0,0,0,0,0,0,0,59,0,0,49,41,81,0,0,0,0,0,0,0,0,35,24,0
SRBP2_SRBP2_HUMAN.H11MO.0.B,0,0,0,0,0,0,0,33,0,0,0,0,0,0,16,30,0,80,0,53,0,0,11,68,56,0,51,0,30,0,0,0,0,0,0,0,61,0,0,48,0,0,75,0,67,35,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,80,0,0,0,48,0,0,0,0,0,53,0,0,39,0,94,0,0,0,0,0,0,0,0,0,0,0
STAT3_M08172_2.00,18,0,0,25,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,12,0,0,0,0,0,20,21,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,24,0,0,0,0,32,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,22,0,16
ZNF540_M07634_2.00,0,0,7,0,13,0,0,4,0,6,0,0,0,0,0,0,0,9,0,7,0,0,0,13,15,5,11,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,0,7,0,6,0,0,0,0,4,0,0,0,0,0,9,0,0,11,9,0,19,0,8,0,0,15,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR2C2_M08222_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZN322_ZN322_HUMAN.H11MO.0.B,0,0,40,0,0,0,0,56,0,0,0,57,0,0,22,0,0,81,0,70,0,0,7,114,117,0,0,0,33,0,0,0,0,0,0,95,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,33,0
GATA2_M08125_2.00,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,3,9,3,0,0,8,0,0,5,6,0,5,0,0,0,0,0,0,0,0,10,4,0,0,5,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF136_M08265_2.00,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,24,0,0,0,0,36,0,0,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,77,0,0,0,0,0,0,0,26,0,0,0,0,79,0,0,0,0,0,0,0,0,49,0,0
NKX25_NKX25_HUMAN.H11MO.0.B,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ZNF682_MA1599.1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,11,29,0,85,0,0,78,0,0,51,79,0,61,0,30,0,0,0,0,0,0,0,70,0,0,62,0,0,47,0,67,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,89,0,0,0,0,0,0,0,0,0,67,0,0,54,0,95,0,0,0,0,0,0,0,0,0,22,0
ZN136_ZN136_HUMAN.H11MO.0.C,0,0,11,0,0,0,0,19,0,0,0,13,0,0,0,0,0,16,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
CTCF_M07921_2.00,0,0,0,0,0,0,65,45,0,0,0,0,0,0,40,48,0,0,0,69,0,0,20,81,81,0,70,0,42,0,0,0,0,0,0,0,78,0,0,79,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,88,0,0,0,0,0,0,0,0,0,73,0,0,66,0,0,0,0,0,0,0,0,0,0,59,36,0
NF2L2_NF2L2_HUMAN.H11MO.0.A,0,0,0,0,37,0,0,0,0,0,0,21,0,0,10,24,29,14,0,21,29,0,0,29,26,0,35,0,0,0,0,0,0,0,0,25,19,0,0,30,0,0,42,0,30,0,15,0,0,0,0,0,0,0,0,0,0,31,0,0,0,43,0,0,31,0,0,0,0,0,0,21,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
BATF_BATF_HUMAN.H11MO.0.A,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,14,15,25,0,0,0,0,15,24,25,0,0,0,0,0,0,0,0,15,13,0,0,19,0,23,22,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,19,0,0,34,0,0,0,0,0,0,0,32,0,14,0,0,17,23,0,0,0,23,0,0,0,0,0,0,0,0
ATF6A_ATF6A_HUMAN.H11MO.0.B,0,0,0,0,40,0,0,18,0,0,0,0,0,0,12,21,0,29,0,15,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,32,0,0,0,0,0,31,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,30,0,33,0,0,0,0,0,0,0,0,0,0,0
ETS2_ETS2_HUMAN.H11MO.0.B,0,0,0,0,0,0,0,55,0,0,0,0,0,0,20,47,72,0,0,0,0,0,5,95,67,0,86,0,26,0,0,0,0,0,0,94,76,0,0,77,0,0,87,0,76,0,64,0,0,0,0,0,0,0,0,0,0,64,0,0,0,115,0,0,0,0,0,0,0,0,25,66,0,0,43,0,116,0,0,0,0,0,0,0,0,0,32,0
ZNF398_M07716_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,80,0,0,0,0,0,0,67,76,0,83,0,27,0,0,0,0,0,0,0,63,0,0,57,0,0,0,0,84,0,0,0,0,0,0,50,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,12,91,0,0,52,0,129,0,0,0,0,0,0,0,0,0,16,0
MYB_MYB_HUMAN.H11MO.0.A,0,24,10,0,25,0,0,15,0,0,7,0,0,0,0,4,0,27,0,16,0,0,0,26,24,0,0,0,0,0,0,0,0,0,0,21,26,0,0,21,0,0,31,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,21,0,35,0,0,0,0,18,0,0,0,0,0,0,0,0,0,21,45,0,0,21,0,0,0,0,0,0,13,0
E2F6_MA0471.2,0,0,0,0,0,0,70,51,0,0,0,0,0,0,0,25,0,0,0,65,0,0,17,67,64,0,51,0,44,0,0,0,0,0,0,0,73,0,0,60,0,0,75,0,65,43,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,87,0,0,0,0,0,0,0,0,0,88,0,0,36,0,107,0,0,0,0,0,0,0,0,0,27,0
GFI1B_GFI1B_HUMAN.H11MO.0.A,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,11,15,0,0,0,17,0,0,8,10,0,19,0,3,0,0,0,0,0,0,16,13,0,0,7,0,0,16,0,11,0,19,0,0,0,0,0,25,34,14,0,0,13,0,0,0,21,0,21,0,12,0,0,0,0,0,14,0,0,6,18,31,0,0,0,0,0,0,0,0,20,0,0
GLIS1_M08345_2.00,0,0,79,0,0,0,0,75,0,0,0,0,0,0,35,57,0,145,0,85,0,0,17,131,123,0,124,0,54,0,0,0,0,0,0,147,115,0,0,112,0,0,0,0,122,0,0,0,0,0,0,69,0,153,0,0,0,115,0,0,0,174,0,0,0,0,0,0,0,0,39,140,0,0,88,89,0,0,0,0,0,0,0,0,0,0,52,0
