,413FM0J_sample001,YA4JE89_sample001,AI8K1H6_sample002,GM30XFD_sample003,YA4JE89_sample002,JD32HPP_sample005,AI8K1H6_sample001,413FM0J_sample002,128T8B4_sample025,UYX1M7A_sample004,2I1Y0Z9_sample001,2I1Y0Z9_sample002,Z9UVZX7_sample001,ZF8WDFS_sample005,0QJ6J2T_sample001,314Z52D_sample001,P7IG2M6_sample001,77SHGAG_sample002,77SHGAG_sample001,3RGFT20_sample004,IYRVLF5_sample001,H84559E_sample004,7F3ZM3T_sample001,F27B011_sample001,C5J912G_sample001,P7IG2M6_sample002,ERUH8Y4_sample001,Q15VFHB_sample002,3WR61X3_sample001,1KEQR84_sample002,91W7C88_sample003,K5LA59U_sample002,JD32HPP_sample003,1KEQR84_sample001,Z9UVZX7_sample004,IYRVLF5_sample002,I9178W9_sample001,GM30XFD_sample002,Z9UVZX7_sample002,5OCQITY_sample001,Q15VFHB_sample001,K5LA59U_sample001,2DZJ8RE_sample002,50RWL61_sample002,O697I0L_sample001,BV5W979_sample001,50RWL61_sample003,BV5W979_sample003,H84559E_sample001,UYX1M7A_sample003,JD32HPP_sample002,LPHTEXM_sample001,C18HPI3_sample003,H84559E_sample003,1KEQR84_sample003,BV5W979_sample002,UYX1M7A_sample005,3CA9B3H_sample001,K5LA59U_sample003,ZF8WDFS_sample007,GM30XFD_sample001,9M7H5EI_sample001,UYX1M7A_sample002,2DZJ8RE_sample001,91W7C88_sample002,Q15VFHB_sample004,128T8B4_sample029,50RWL61_sample001,C18HPI3_sample001,C18HPI3_sample002,BYPLWTE_sample001,IO8L3WL_sample001,JD32HPP_sample004,37F102B_sample001,7UV42I3_sample001,U05HLZY_sample001,37F102B_sample002,3RGFT20_sample001,ZF8WDFS_sample004,LPHTEXM_sample002,91W7C88_sample001,UYX1M7A_sample001,2W5JG33_sample080,91W7C88_sample004,JD32HPP_sample001,U05HLZY_sample002,O3F124I_sample001,BV5W979_sample004
ZNF134_M08392_2.00,0,43,10,0,0,0,9,19,0,0,0,12,0,0,0,11,16,29,0,23,42,0,0,31,31,19,36,0,0,0,0,0,0,0,0,0,35,0,0,33,0,0,25,0,26,0,0,0,0,0,0,0,0,0,0,0,0,27,18,0,0,51,0,0,0,0,0,0,0,0,0,23,0,0,18,0,48,0,0,25,0,0,0,0,0,36,0,0
ZNF263_M07843_2.00,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,230,244,0,216,0,118,0,0,0,0,0,0,0,211,0,0,200,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,320,0,0,0,0,0,0,0,0,65,235,0,0,174,0,0,0,0,0,0,0,0,0,0,0,83,0
ZNF552_M07655_2.00,0,0,15,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,32,25,0,27,0,16,0,0,0,0,0,0,0,27,0,0,27,0,0,13,0,29,0,0,0,0,0,0,0,0,31,0,0,0,18,0,0,0,44,0,0,23,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
GATA1_M07963_2.00,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,7,0,0,0,0,5,0,0,12,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0
MAFG_MAFG_HUMAN.H11MO.0.A,32,0,0,0,25,0,0,0,0,0,8,0,0,0,0,26,25,18,0,29,39,0,0,37,24,0,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,36,0,32,0,22,0,0,0,0,0,0,0,0,0,0,30,0,0,31,45,0,0,0,19,0,0,0,0,0,34,0,0,24,0,0,0,0,0,0,0,0,0,28,0,0,0
MEF2B_MEF2B_HUMAN.H11MO.0.A,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,14,19,0,0,0,0,0,0,22,18,0,21,0,0,0,0,0,0,0,0,0,18,0,0,15,0,0,0,0,19,17,0,0,0,0,0,17,0,0,0,0,0,21,25,0,26,29,0,49,28,0,0,0,0,0,0,20,0,0,16,0,45,0,0,0,0,0,0,0,0,29,8,0
ZEB1_M08190_2.00,0,0,0,0,52,0,0,0,0,0,0,12,0,0,4,16,14,0,0,0,40,0,0,41,27,0,34,0,0,0,0,0,0,0,0,38,0,0,0,34,0,0,32,0,32,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,44,49,0,0,0,0,0,0,0,38,0,0,0,0,28,0,49,0,0,0,0,0,0,0,0,21,0,0
ELF1_M08198_2.00,0,13,4,0,10,0,0,0,0,0,4,0,18,0,0,0,0,7,0,6,14,0,0,14,11,0,11,0,4,5,0,0,0,0,15,15,15,27,0,13,0,0,0,8,9,0,0,0,8,0,0,3,0,27,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17,0,0,0,6,18,0,0,0,0,11,0,0,14,0,0,0
FOXH1_MA0479.1,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,10,0,0,0,0,0,0,15,0,4,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,23,0,0,11,0,0,0,0,16,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0
WT1_WT1_HUMAN.H11MO.0.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,320,0,0,0,196,219,0,171,0,171,0,0,0,0,0,0,0,194,0,0,175,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,278,0,0,0,256,0,0,0,0,58,181,0,0,142,0,429,0,0,0,0,0,0,0,0,0,121,0
